效果,語法
{++新增++},{`++新增++`}
{--刪除--},{`--刪除--`}
{~~ 替換舊 ~> 替換新 ~~},{`~~ 替換舊 ~> 替換新 ~~`}
{== 強調 ==},{`== 強調 ==}`
*雙框*,`*雙框*`
**粗體**,`**粗體**`
